entity_id,friendly_name,domain,platform,device_name,manufacturer,model,area,disabled,hidden
sensor.third_reality_inc_3rsp02028bz_lqi_6,LQI,sensor,zha,Basement_Washer_Plug,Third Reality; Inc,3RSP02028BZ,Laundry Area,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_7,LQI,sensor,zha,Basement_Dehumidifier_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_8,LQI,sensor,zha,Upstairs_Hallway_Plug,Third Reality; Inc,3RSP02028BZ,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsp02028bz_lqi_9,LQI,sensor,zha,Basement_TV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi,RSSI,sensor,zha,Kitchen_Keurig_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_10,RSSI,sensor,zha,Basement_Flourescent_Light_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_11,RSSI,sensor,zha,Basement_Milwaukee_Charger_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_12,RSSI,sensor,zha,Basement_Echo_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_13,RSSI,sensor,zha,Garage_Projector_and_AV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Garage,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_14,RSSI,sensor,zha,Living_Room_TV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_15,RSSI,sensor,zha,Kitchen_Roomba_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_16,RSSI,sensor,zha,Kitchen_Lounge_Brava_Jet_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen Lounge,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_2,RSSI,sensor,zha,Living_Room_Subwoofer_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_3,RSSI,sensor,zha,Kitchen_Echo_Show_Plug,Third Reality; Inc,3RSP02028BZ,Kitchen,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_4,RSSI,sensor,zha,Living_Room_Echo_Show_Plug,Third Reality; Inc,3RSP02028BZ,Living Room,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_5,RSSI,sensor,zha,Basement AVR – HARD POWER RESET,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_6,RSSI,sensor,zha,Basement_Washer_Plug,Third Reality; Inc,3RSP02028BZ,Laundry Area,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_7,RSSI,sensor,zha,Basement_Dehumidifier_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_8,RSSI,sensor,zha,Upstairs_Hallway_Plug,Third Reality; Inc,3RSP02028BZ,Upstairs Hallway,integration,
sensor.third_reality_inc_3rsp02028bz_rssi_9,RSSI,sensor,zha,Basement_TV_Smart_Plug,Third Reality; Inc,3RSP02028BZ,Basement,integration,
sensor.time_context,Time Context,sensor,template,,,,,,
sensor.tower_flex_clients,Clients,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,integration,
sensor.tower_flex_cpu_utilization,CPU utilization,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,,
sensor.tower_flex_memory_utilization,Memory utilization,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,,
sensor.tower_flex_port_2_poe_power,Port 2 PoE Power,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,integration,
sensor.tower_flex_port_3_poe_power,Port 3 PoE Power,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,integration,
sensor.tower_flex_port_4_poe_power,Port 4 PoE Power,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,integration,
sensor.tower_flex_port_5_poe_power,Port 5 PoE Power,sensor,unifi,Tower - Flex,Ubiquiti Networks,USF5P,,integration,
