sheet,priority,category,entity_id,friendly_name,type,platform,manufacturer,area,status,action_needed,notes
Issues,HIGH,Sensor missing area,binary_sensor.1st_floor_bathroom_motion,1st Floor Bathroom Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.ai_theta_motion,Motion,Sensor,unifiprotect,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.downstairs_motion,Downstairs Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.entry_room_motion,Entry Room Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.front_door_hallway_motion,Front Door Hallway Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.g6_bullet_motion,Motion,Sensor,unifiprotect,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.garage_north_door_alert_active,Garage North Door Alert Active,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.garage_south_door_alert_active,Garage South Door Alert Active,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.house_motion_active,House Motion Active,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.house_motion_any,House Motion Any,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.kitchen_lounge_motion,Kitchen Lounge Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.kitchen_motion,Kitchen Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.living_room_motion,Living Room Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
Issues,HIGH,Sensor missing area,binary_sensor.upstairs_bathroom_motion,Upstairs Bathroom Motion,Sensor,template,N/A,,Action Needed,Assign to room in HA UI,
