entity_id,friendly_name,sensor_type,platform,manufacturer,area,has_area,disabled,notes
sensor.aqara_water_leak_sensor_battery_type,Battery type,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_type_2,Battery type,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_type_3,Battery type,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_type_4,Battery type,water,matter,Aqara,Basement,YES,,
sensor.aqara_water_leak_sensor_battery_type_5,Battery type,water,matter,Aqara,Basement,YES,,
sensor.aqara_water_leak_sensor_battery_voltage,Battery voltage,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_voltage_2,Battery voltage,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_voltage_3,Battery voltage,water,matter,Aqara,Kitchen,YES,,
sensor.aqara_water_leak_sensor_battery_voltage_4,Battery voltage,water,matter,Aqara,Basement,YES,,
sensor.aqara_water_leak_sensor_battery_voltage_5,Battery voltage,water,matter,Aqara,Basement,YES,,
sensor.back_door_patio_light_inovelli_switch_current,Current,door,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_humidity,Humidity,humidity,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_internal_temperature,Internal temperature,temperature,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_overheat_protection,Overheat protection,door,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_power,Power,door,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_summation_delivered,Summation delivered,door,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_temperature,Temperature,temperature,zha,Inovelli,Back Patio,YES,,
sensor.back_door_patio_light_inovelli_switch_voltage,Voltage,door,zha,Inovelli,Back Patio,YES,,
sensor.back_yard_last_motion_detected,Last motion detected,motion,unifiprotect,Ubiquiti,Back Yard Tower,YES,YES,
sensor.basement_thermostat_humidity,Humidity,humidity,nest,Google Nest,Laundry Area,YES,,
